##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	27379_R1.fastq.gz
File type	Conventional base calls
1103	30-34	0.13505436838416074
1103	35-39	0.18171347002758154
1103	40-44	0.18521387303442083
1103	45-49	0.24053060016795058
1103	50-54	0.2511770122033141
1103	55-59	0.28653656040561515
1103	60-64	0.2662202696437248
1103	65-69	0.3095574809211499
1103	70-74	0.3450567546608667
1103	75-79	0.4119689591299789
1103	80-84	0.3750565240734929
1103	85-89	0.42519645949494844
1103	90-94	0.4525994478408393
1103	95-99	0.487409130881268
1103	100-104	0.5538995780850584
1103	105-109	0.6167749652360541
1103	110-114	0.7152435649566797
1103	115-119	0.75030332822476
1103	120-124	0.8950752777687399
1103	125-129	0.9491518319158487
1103	130-134	1.051179283916447
1103	135-139	1.1604013776254192
1103	140-144	1.2948056441802223
1103	145-149	1.5314758014782441
1103	150-151	1.8961763822249864
1104	1	-0.004679838654102042
1104	2	0.04759908929172951
1104	3	0.1305904792613859
1104	4	0.09545398510349656
1104	5	0.07949663054510125
1104	6	0.15155557017314436
1104	7	0.11759171020369052
1104	8	0.09495806732482492
1104	9	0.10491804828397022
1104	10-14	0.10825022579964383
1104	15-19	0.08396283334555932
1104	20-24	0.08891091652846939
1104	25-29	0.11247466132785888
1104	30-34	0.11908177148236376
1104	35-39	0.16389651620096402
1104	40-44	0.16853385063632942
1104	45-49	0.204952230214694
1104	50-54	0.23221766998759819
1104	55-59	0.2675244085328643
1104	60-64	0.2693133140660322
1104	65-69	0.3092047700138707
1104	70-74	0.3153605893489342
1104	75-79	0.3273521623211195
1104	80-84	0.2880878222514909
1104	85-89	0.33995461165148555
1104	90-94	0.3708653038755756
1104	95-99	0.3786337305877794
1104	100-104	0.38930962603687647
1104	105-109	0.44444733249143553
1104	110-114	0.6146491165007433
1104	115-119	0.6524362931498331
1104	120-124	0.7396621685147906
1104	125-129	0.8401073335747213
1104	130-134	0.8568507542922958
1104	135-139	1.0312947108351977
1104	140-144	1.1469071815287606
1104	145-149	1.345624941516114
1104	150-151	1.680914948316655
1105	1	0.04659132525805987
1105	2	0.03404429528724151
1105	3	0.12707055425748592
