##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	27379_R2.fastq.gz
1110	115-119	2.620363560336351
1110	120-124	2.886372123096791
1110	125-129	3.130583903594733
1110	130-134	3.379191096446469
1110	135-139	3.615946438308093
1110	140-144	3.9632265020727573
1110	145-149	4.157783519698096
1110	150-151	3.91784463563037
1111	1	0.4737486076136044
1111	2	0.4992614698400537
1111	3	0.7166757625069593
1111	4	0.6583997798720063
1111	5	0.49746262321150425
1111	6	0.8014039555107928
1111	7	0.7598742961415113
1111	8	0.7341301621482401
1111	9	0.6190484897514281
1111	10-14	0.6535163801755814
1111	15-19	0.6717449258211303
1111	20-24	0.747771474543157
1111	25-29	0.859095426686892
1111	30-34	0.9248246702962106
1111	35-39	1.0087279773012625
1111	40-44	1.0468624806804385
1111	45-49	1.2342397694070044
1111	50-54	1.418935176857218
1111	55-59	1.4533840140119025
1111	60-64	1.4912088120769482
1111	65-69	1.540793901214954
1111	70-74	1.6724564720206985
1111	75-79	1.5389139250488597
1111	80-84	1.527066997480354
1111	85-89	1.5740138718261392
1111	90-94	1.6496130979423569
1111	95-99	1.7535111044857885
1111	100-104	1.8200353862880618
1111	105-109	1.9889210534963766
1111	110-114	2.1138418205949137
1111	115-119	2.212142411740132
1111	120-124	2.456962013893488
1111	125-129	2.5603693503723406
1111	130-134	2.8017574418702296
1111	135-139	3.13228772625461
1111	140-144	3.483931032874665
1111	145-149	3.6290430592946272
1111	150-151	3.2940330348814904
1112	1	0.43726936971934904
1112	2	0.47676248556962264
1112	3	0.6389374354191801
1112	4	0.6511650932576529
1112	5	0.5097612624304375
1112	6	0.8540639652807585
1112	7	0.813680899058717
1112	8	0.7809768437325175
1112	9	0.6563033647757521
1112	10-14	0.678124012820426
1112	15-19	0.6820315043215572
1112	20-24	0.7840547824529764
1112	25-29	0.8866112004395532
1112	30-34	0.964891183607854
1112	35-39	1.0492245831776401
1112	40-44	1.122906424849397
1112	45-49	1.3025431801166931
1112	50-54	1.4760230267256986
1112	55-59	1.5199813288824728
1112	60-64	1.601030934400427
1112	65-69	1.6688262711876334
1112	70-74	1.7324407228733136
